ID,ISBN,judul,kategori,jumlah
148,9789790685086,Pintar Berbahasa Indonesia,Kelas 1,0
149,9789790685147,Aku Bisa Bahasa Indonesia,Kelas 1,0
150,9789790684959,Bahasa Indonesia,Kelas 1,0
152,9789790680258,Bahasa Indonesia,Kelas 1,0
153,9794629154,Indahnya Bahasa dan Sastra Inddonesia 1,Kelas 1,0
154,9794629839,Bahasa Indonesia,Kelas 1,0
155,9796428441,Bahasa Kita Bahasa Indonesia,Kelas 1,0
156,9789790685772,Ilmu Pengetahuan Alam,Kelas 1,0
158,9789790685772,Ilmu Pengetahuan Alam,Kelas 1,0
159,9789790685727,Mengenal Alam,Kelas 1,0
160,9789790680012,Ilmu Pengetahuan Alam,Kelas 1,0
162,9794629731,A.B.I. Asiknya Belajar IPA,Kelas 1,0
163,9794629510,Ilmu Pengetahuan Alam,Kelas 1,0
164,9794628484979,Senang Belajar Ilmu Pengetahuan Alam,Kelas 1,0
165,9789790685970,Ilmu Pengetahuan Sosial,Kelas 1,0
166,9789790685970,Ilmu Pengetahuan Sosial,Kelas 1,0
168,9789790680081,Ilmu Pengetahuan Sosial 1,Kelas 1,0
169,9789790681101,Mari Belajar IPS 1,Kelas 1,0
170,9789790680081,Ilmu Pengetahuan Sosial 1,Kelas 1,0
171,9794629960,Ilmu Pengetahuan Sosial SD / MI,Kelas 1,0
172,9794629928,Ilmu Pengetahuan Sosial 1,Kelas 1,0
173,9791131341,Ilmu Pengetahuan Sosial 1,Kelas 1,0
174,9789790685284,Matematika,Kelas 1,0
177,9789790685673,Pintar Bermatematika,Kelas 1,0
178,9789790685284,Matematika,Kelas 1,0
179,9789790680760,Senang Matematika 1,Kelas 1,0
180,9789790680395,Matematika I,Kelas 1,0
181,9794629626,Dunia Matematika,Kelas 1,0
182,9794628735,Matematika Untuk SD/MI,Kelas 1,0
183,9794628212,Matematika 1,Kelas 1,0
184,9789790686540,Belajar Kewarganegaraan Indonesia,Kelas 1,0
185,9789790686250,Pendidikan Kewarganegaraan,Kelas 1,0
186,9789790686250,Pendidikan Kewarganegaraan,Kelas 1,0
187,9789790686250,Pendidikan Kewarganegaraan,Kelas 1,0
188,9789790680821,Pendidikan Kewarganegaraan 1,Kelas 1,0
190,9789790680821,Pendidikan Kewarganegaraan 1,Kelas 1,0
191,9794629200,Pendidikan Kewarganegaraan,Kelas 1,0
192,9794629200,Bahasa Indonesia,Kelas 1,0
812,9794629260,Pendidikan Kewarganegaraan SD MI Kelas 1,Kelas 1,0
813,9790000000000,Pendidikan Jasmani Olahraga dan Kesehatan untuk kelas I SD MI,Kelas 1,0
970,9786022821472,Buku Siswa SD MI Kelas 1 Tema 1 Diriku,Kelas 1,0
971,9786022821335,Buku Siswa SD MI Kelas 1 Tema 2  Kegemaranku (Edisi Revisi 2014),Kelas 1,0
972,9786021530078,Pendidikan Agama Budha dan Budi Pekerti SD/MI Kelas I,Kelas 1,0
973,9786022821403,Buku Guru SD/MI Kelas 1 Tema 6 Lingkungan Bersih Sehat dan Asri,Kelas 1,0
974,9786022821892,Buku Guru Pendidikan Agama Islam dan Budi Pekerti SD Kelas I,Kelas 1,0
975,9786022820413,Buku Guru Pendidikan Agama Khonghucu dan Budi Pekerti SD Kelas I,Kelas 1,0
1069,,Indahnya Bahasa dan Sastra Indonesia,Kelas 1,0
1070,9794628735,Matematika untuk SD MI Kelas 1,Kelas 1,0
1071,9794629731,A.B.I. Asyiknya Belajar IPA untuk kelas Sekolah Dasar kelas I,Kelas 1,0
1072,9794629960,Ilmu Pengetahuan Sosial Bangga Menjadi Insan Berwawasan Lingkungan Untuk SD/MI kelas I,Kelas 1,0
1095,,Pendidikan Agama Khonghucu Aku Seorang Junzi 1,Kelas 1,0
