ID,ISBN,judul,kategori,jumlah
716,1234567891231,Sensor dan Aktuator,Kelas 10,0
717,1234567891231,Teknik Mikroprosesor,Kelas 10,0
718,1234567891231,Teknik Mikroprosesor,Kelas 10,0
719,1234567891231,Teknik Kerja Bengkel,Kelas 10,0
720,1234567891231,Teknik Las SMAW,Kelas 10,0
721,1234567891231,Teknik Las SMAW,Kelas 10,0
722,1234567891231,Teknik Dasar pengerjaan Logam,Kelas 10,0
723,1234567891231,Teknik Dasar pengerjaan Logam,Kelas 10,0
724,1234567891231,Teknik Listrik Dasar otomotif,Kelas 10,0
725,1234567891231,Pekerjaan Teknik Dasar otomotif,Kelas 10,0
726,1234567891231,Pekerjaan Teknik Dasar otomotif,Kelas 10,0
727,1234567891231,Teknologi Dasar otomotif,Kelas 10,0
728,1234567891231,Teknologi Dasar otomotif,Kelas 10,0
841,9794629731,Developing English Competencies For Senior School (SMA MA) Grade  X,Kelas 10,0
842,9789790681361,Panduan Pembelajaran Biologi Untuk SMA & MA Kelas X,Kelas 10,0
843,9789790681798,Kimia Untuk SMA MA Kelas X,Kelas 10,0
844,9789790681408,Geografi X SMA,Kelas 10,0
845,9789790681927,Ekonomi Untuk SMA MA Kelas X,Kelas 10,0
846,9789790682184,Sosiologi Kontekstual  untuk SMA & MA kelas X,Kelas 10,0
847,9789790950054,Pendidikan Jasmani olahraga dan kesehatan untuk SMA MA SMK kelas X,Kelas 10,0
867,9794628670,Bahasa Indonesia 1 kelas X SMK MAK Semua Program Keahlian,Kelas 10,0
868,9794629324,English For SMK 1 Grade X,Kelas 10,0
869,9786028320733,Matematika SMK Bisnis dan Manajemen Jilid 1,Kelas 10,0
870,9786028320238,Fisika SMK Non Teknologi Jilid 1,Kelas 10,0
871,9786028320269,Fisika SMK  Teknologi Jilid 1,Kelas 10,0
872,9786028320344,Ilmu Pengetahuan Sosial (IPS) Jilid 1,Kelas 10,0
873,9786028320009,Agribisnis Ternak Ruminansia Jilid 1,Kelas 10,0
874,9786028320047,Akomodasi Perhotelan Jilid 1,Kelas 10,0
875,9786028320191,Budidaya Ikan Jilid 1,Kelas 10,0
876,9786028320375,Kesekretarisan Jilid 1,Kelas 10,0
877,9786028320450,Kimia Jilid 1,Kelas 10,0
878,9786028320481,Kimia Kesehatan Jilid 1,Kelas 10,0
879,9786028320511,Konsep Dasar Akuntansi dan Pelaporan Keuangan Jilid 1,Kelas 10,0
880,9786028320665,Kriya Tekstil Jilid 1,Kelas 10,0
